Nodes explored: 750
Path length: 750
[LC LW LB RC RW RB]
[0, 0, 0, 96, 94, 1]
[0, 2, 1, 96, 92, 0]
[0, 1, 0, 96, 93, 1]
[0, 3, 1, 96, 91, 0]
[0, 2, 0, 96, 92, 1]
[0, 4, 1, 96, 90, 0]
[0, 3, 0, 96, 91, 1]
[0, 5, 1, 96, 89, 0]
[0, 4, 0, 96, 90, 1]
[0, 6, 1, 96, 88, 0]
[0, 5, 0, 96, 89, 1]
[0, 7, 1, 96, 87, 0]
[0, 6, 0, 96, 88, 1]
[0, 8, 1, 96, 86, 0]
[0, 7, 0, 96, 87, 1]
[0, 9, 1, 96, 85, 0]
[0, 8, 0, 96, 86, 1]
[0, 10, 1, 96, 84, 0]
[0, 9, 0, 96, 85, 1]
[0, 11, 1, 96, 83, 0]
[0, 10, 0, 96, 84, 1]
[0, 12, 1, 96, 82, 0]
[0, 11, 0, 96, 83, 1]
[0, 13, 1, 96, 81, 0]
[0, 12, 0, 96, 82, 1]
[0, 14, 1, 96, 80, 0]
[0, 13, 0, 96, 81, 1]
[0, 15, 1, 96, 79, 0]
[0, 14, 0, 96, 80, 1]
[0, 16, 1, 96, 78, 0]
[0, 15, 0, 96, 79, 1]
[0, 17, 1, 96, 77, 0]
[0, 16, 0, 96, 78, 1]
[0, 18, 1, 96, 76, 0]
[0, 17, 0, 96, 77, 1]
[0, 19, 1, 96, 75, 0]
[0, 18, 0, 96, 76, 1]
[0, 20, 1, 96, 74, 0]
[0, 19, 0, 96, 75, 1]
[0, 21, 1, 96, 73, 0]
[0, 20, 0, 96, 74, 1]
[0, 22, 1, 96, 72, 0]
[0, 21, 0, 96, 73, 1]
[0, 23, 1, 96, 71, 0]
[0, 22, 0, 96, 72, 1]
[0, 24, 1, 96, 70, 0]
[0, 23, 0, 96, 71, 1]
[0, 25, 1, 96, 69, 0]
[0, 24, 0, 96, 70, 1]
[0, 26, 1, 96, 68, 0]
[0, 25, 0, 96, 69, 1]
[0, 27, 1, 96, 67, 0]
[0, 26, 0, 96, 68, 1]
[0, 28, 1, 96, 66, 0]
[0, 27, 0, 96, 67, 1]
[0, 29, 1, 96, 65, 0]
[0, 28, 0, 96, 66, 1]
[0, 30, 1, 96, 64, 0]
[0, 29, 0, 96, 65, 1]
[0, 31, 1, 96, 63, 0]
[0, 30, 0, 96, 64, 1]
[0, 32, 1, 96, 62, 0]
[0, 31, 0, 96, 63, 1]
[0, 33, 1, 96, 61, 0]
[0, 32, 0, 96, 62, 1]
[0, 34, 1, 96, 60, 0]
[0, 33, 0, 96, 61, 1]
[0, 35, 1, 96, 59, 0]
[0, 34, 0, 96, 60, 1]
[0, 36, 1, 96, 58, 0]
[0, 35, 0, 96, 59, 1]
[0, 37, 1, 96, 57, 0]
[0, 36, 0, 96, 58, 1]
[0, 38, 1, 96, 56, 0]
[0, 37, 0, 96, 57, 1]
[0, 39, 1, 96, 55, 0]
[0, 38, 0, 96, 56, 1]
[0, 40, 1, 96, 54, 0]
[0, 39, 0, 96, 55, 1]
[0, 41, 1, 96, 53, 0]
[0, 40, 0, 96, 54, 1]
[0, 42, 1, 96, 52, 0]
[0, 41, 0, 96, 53, 1]
[0, 43, 1, 96, 51, 0]
[0, 42, 0, 96, 52, 1]
[0, 44, 1, 96, 50, 0]
[0, 43, 0, 96, 51, 1]
[0, 45, 1, 96, 49, 0]
[0, 44, 0, 96, 50, 1]
[0, 46, 1, 96, 48, 0]
[0, 45, 0, 96, 49, 1]
[0, 47, 1, 96, 47, 0]
[0, 46, 0, 96, 48, 1]
[0, 48, 1, 96, 46, 0]
[0, 47, 0, 96, 47, 1]
[0, 49, 1, 96, 45, 0]
[0, 48, 0, 96, 46, 1]
